Symbol     Value     
--------------------
PAA        0.00032165
TEVA       0.00018251
PLTR       0.00017260
SNAP       0.00013768
DB         0.00013087
X          0.00008798
AFRM       0.00008324
BEKE       0.00006540
CPNG       0.00006190
MT         0.00004896
GOLD       0.00004206
RIVN       0.00004109
GSK        0.00003767
DOCU       0.00003626
PBR        0.00003454
COTY       0.00003409
PATH       0.00003193
VALE       0.00002831
SRPT       0.00002550
ET         0.00002435
NTR        0.00002403
DBX        0.00002371
ROKU       0.00002233
LI         0.00002179
U          0.00002085
ALLY       0.00001886
SU         0.00001697
WPM        0.00001683
CCJ        0.00001667
HSBC       0.00001615
TECK       0.00001586
BABA       0.00001502
XP         0.00001450
SE         0.00001417
DKS        0.00001336
LII        0.00001268
PINS       0.00001264
RBLX       0.00001209
EPD        0.00001056
JD         0.00001054
GTLB       0.00000955
EDU        0.00000943
DDOG       0.00000929
DKNG       0.00000867
BIDU       0.00000781
TEAM       0.00000767
SQ         0.00000759
COIN       0.00000704
Z          0.00000677
SHOP       0.00000654
BUD        0.00000648
SHEL       0.00000624
CELH       0.00000615
DELL       0.00000504
TOL        0.00000498
NET        0.00000476
BP         0.00000417
MRVL       0.00000384
WSM        0.00000374
TTD        0.00000357
DASH       0.00000354
TSM        0.00000336
OKTA       0.00000328
GDDY       0.00000323
KKR        0.00000312
ZM         0.00000303
TWLO       0.00000299
SPOT       0.00000298
PDD        0.00000290
MDB        0.00000264
SONY       0.00000257
APO        0.00000235
AZN        0.00000232
SMCI       0.00000223
NVO        0.00000155
WDAY       0.00000141
ZS         0.00000139
BURL       0.00000129
SNOW       0.00000120
LNG        0.00000095
CRWD       0.00000087
ASML       0.00000066
MELI       0.00000064
RACE       0.00000052
SPLK       0.00000000
FIVE       0.00000000
UBS        0.00000000
DT         0.00000000
HUBS       0.00000000
