Symbol     Value     
--------------------
PAA        0.00069101
SNAP       0.00032776
RIVN       0.00018389
AFRM       0.00017195
COTY       0.00012052
U          0.00011952
BEKE       0.00010426
PATH       0.00010227
LI         0.00010093
SE         0.00009470
CPNG       0.00008865
PLTR       0.00008798
PBR        0.00008485
PINS       0.00008430
GOLD       0.00007462
NET        0.00007327
RBLX       0.00006899
DKNG       0.00006867
XP         0.00006763
TEVA       0.00006724
CELH       0.00006559
ALLY       0.00006534
DB         0.00006507
MT         0.00006477
SU         0.00005924
JD         0.00005845
DOCU       0.00005581
GTLB       0.00005354
CCJ        0.00005275
ROKU       0.00004756
Z          0.00004593
EDU        0.00004501
TECK       0.00004274
TTD        0.00004178
SHOP       0.00004145
SRPT       0.00004072
COIN       0.00003964
NTR        0.00003842
GSK        0.00003778
DBX        0.00003518
SQ         0.00003402
OKTA       0.00003270
DDOG       0.00003091
WPM        0.00002851
VALE       0.00002820
MRVL       0.00002722
ZM         0.00002719
DASH       0.00002677
ET         0.00002423
BIDU       0.00002282
X          0.00002208
AZN        0.00002141
BP         0.00002059
SNOW       0.00001943
TWLO       0.00001941
TEAM       0.00001899
TOL        0.00001632
HSBC       0.00001624
BABA       0.00001511
GDDY       0.00001499
DELL       0.00001492
DKS        0.00001446
PDD        0.00001445
EPD        0.00001399
TSM        0.00001254
SHEL       0.00001238
WSM        0.00001185
SPOT       0.00001174
SMCI       0.00001009
BUD        0.00000982
LII        0.00000966
MDB        0.00000846
WDAY       0.00000800
ZS         0.00000793
CRWD       0.00000756
APO        0.00000702
BURL       0.00000647
SONY       0.00000645
KKR        0.00000622
LNG        0.00000480
ASML       0.00000284
NVO        0.00000231
MELI       0.00000198
RACE       0.00000018
SPLK       0.00000000
FIVE       0.00000000
UBS        0.00000000
DT         0.00000000
HUBS       0.00000000
