Symbol     Value     
--------------------
PAA        0.00032039
DB         0.00013005
BEKE       0.00010449
PLTR       0.00008717
AFRM       0.00008549
RIVN       0.00008213
SNAP       0.00006978
COTY       0.00006785
TEVA       0.00006664
MT         0.00006509
RBLX       0.00005769
GOLD       0.00005277
LI         0.00005260
CPNG       0.00004907
PATH       0.00004599
PBR        0.00004297
SE         0.00004113
U          0.00003979
WPM        0.00003953
GSK        0.00003747
NET        0.00002969
TEAM       0.00002911
PINS       0.00002852
VALE       0.00002812
ALLY       0.00002806
CCJ        0.00002795
SRPT       0.00002748
CELH       0.00002742
EDU        0.00002650
JD         0.00002617
GTLB       0.00002592
SHOP       0.00002445
ET         0.00002434
DBX        0.00002354
DKNG       0.00002293
X          0.00002202
COIN       0.00002136
SQ         0.00001931
TTD        0.00001873
EPD        0.00001758
ROKU       0.00001739
SU         0.00001684
HSBC       0.00001617
BABA       0.00001539
XP         0.00001479
BP         0.00001443
NTR        0.00001434
TECK       0.00001424
BUD        0.00001294
DDOG       0.00001206
MRVL       0.00001147
Z          0.00001056
BIDU       0.00000992
DOCU       0.00000977
LII        0.00000971
SHEL       0.00000929
DASH       0.00000915
OKTA       0.00000873
DELL       0.00000835
SNOW       0.00000754
TWLO       0.00000745
TOL        0.00000742
KKR        0.00000620
ZM         0.00000602
PDD        0.00000595
NVO        0.00000557
TSM        0.00000541
SMCI       0.00000510
BURL       0.00000480
GDDY       0.00000431
CRWD       0.00000410
WDAY       0.00000405
MDB        0.00000356
WSM        0.00000310
ZS         0.00000301
AZN        0.00000289
SPOT       0.00000278
SONY       0.00000257
APO        0.00000235
DKS        0.00000153
LNG        0.00000143
MELI       0.00000100
ASML       0.00000096
RACE       0.00000052
SPLK       0.00000000
FIVE       0.00000000
UBS        0.00000000
DT         0.00000000
HUBS       0.00000000
