Symbol     Value     
--------------------
PAA        0.00032039
DB         0.00012995
AFRM       0.00008242
RIVN       0.00008208
BEKE       0.00007825
PLTR       0.00006969
SNAP       0.00006933
COTY       0.00006774
TEVA       0.00006658
SE         0.00005941
GOLD       0.00005267
CPNG       0.00004883
MT         0.00004879
LI         0.00004635
U          0.00004442
PBR        0.00004292
PATH       0.00004136
RBLX       0.00004117
TECK       0.00003791
GSK        0.00003750
WPM        0.00003385
JD         0.00003138
NET        0.00002990
OKTA       0.00002925
PINS       0.00002838
VALE       0.00002816
ALLY       0.00002805
CELH       0.00002642
EDU        0.00002495
ET         0.00002431
SRPT       0.00002415
DBX        0.00002342
CCJ        0.00002272
COIN       0.00002242
SHOP       0.00002099
TEAM       0.00002052
GTLB       0.00001887
DKNG       0.00001865
XP         0.00001849
ROKU       0.00001828
EPD        0.00001756
SU         0.00001686
TTD        0.00001665
SQ         0.00001664
HSBC       0.00001615
BABA       0.00001537
BP         0.00001446
NTR        0.00001438
ZS         0.00001424
X          0.00001389
BUD        0.00001294
DDOG       0.00001133
Z          0.00000980
MRVL       0.00000929
BIDU       0.00000919
DOCU       0.00000898
DASH       0.00000786
LII        0.00000767
TWLO       0.00000745
DELL       0.00000668
KKR        0.00000621
SHEL       0.00000620
ZM         0.00000543
TSM        0.00000541
PDD        0.00000530
SNOW       0.00000523
NVO        0.00000520
TOL        0.00000495
WDAY       0.00000471
GDDY       0.00000431
SMCI       0.00000424
MDB        0.00000343
BURL       0.00000320
CRWD       0.00000320
WSM        0.00000310
SPOT       0.00000288
SONY       0.00000257
APO        0.00000234
AZN        0.00000231
LNG        0.00000143
DKS        0.00000102
MELI       0.00000100
ASML       0.00000090
RACE       0.00000052
SPLK       0.00000000
FIVE       0.00000000
UBS        0.00000000
DT         0.00000000
HUBS       0.00000000
