Symbol     Value     
--------------------
PAA        0.00032165
DB         0.00013042
SNAP       0.00011319
BEKE       0.00007792
TEVA       0.00006661
AFRM       0.00006471
CPNG       0.00006204
RIVN       0.00006164
RBLX       0.00005793
ALLY       0.00005656
PLTR       0.00005233
CCJ        0.00005009
MT         0.00004903
PBR        0.00004306
GOLD       0.00004228
SRPT       0.00004076
GSK        0.00003754
X          0.00003662
PATH       0.00003660
COTY       0.00003409
DOCU       0.00003203
PINS       0.00002853
VALE       0.00002833
SE         0.00002821
LI         0.00002783
TTD        0.00002756
XP         0.00002558
ET         0.00002440
DBX        0.00002363
U          0.00002331
NTR        0.00001921
GTLB       0.00001898
NET        0.00001870
SQ         0.00001739
HSBC       0.00001616
OKTA       0.00001570
EDU        0.00001552
COIN       0.00001494
SU         0.00001449
TECK       0.00001430
LII        0.00001243
DDOG       0.00001183
CELH       0.00001134
WPM        0.00001127
SHOP       0.00001101
BIDU       0.00001062
JD         0.00001051
EPD        0.00001050
ROKU       0.00001035
DKNG       0.00000997
BUD        0.00000969
BP         0.00000832
Z          0.00000750
TWLO       0.00000699
BURL       0.00000645
BABA       0.00000626
KKR        0.00000626
SHEL       0.00000622
MRVL       0.00000603
DASH       0.00000603
TEAM       0.00000579
TSM        0.00000540
DELL       0.00000503
SPOT       0.00000480
MDB        0.00000421
ZM         0.00000421
SONY       0.00000386
PDD        0.00000354
GDDY       0.00000325
SNOW       0.00000277
WDAY       0.00000274
WSM        0.00000250
TOL        0.00000249
APO        0.00000235
AZN        0.00000231
ZS         0.00000206
NVO        0.00000193
DKS        0.00000153
SMCI       0.00000148
LNG        0.00000144
CRWD       0.00000133
MELI       0.00000103
ASML       0.00000076
RACE       0.00000052
SPLK       0.00000000
FIVE       0.00000000
UBS        0.00000000
DT         0.00000000
HUBS       0.00000000
