Symbol     Value     
--------------------
BEKE       0.00044440
PAA        0.00032165
TEVA       0.00018236
DB         0.00013071
CPNG       0.00012398
WPM        0.00008416
SNAP       0.00007740
SU         0.00006304
U          0.00006027
EPD        0.00005980
X          0.00004995
MT         0.00004901
DOCU       0.00004367
PLTR       0.00004315
GOLD       0.00004211
RIVN       0.00004109
PATH       0.00004095
GSK        0.00003769
SRPT       0.00003655
TECK       0.00003646
DBX        0.00003557
COTY       0.00003415
VALE       0.00002831
ALLY       0.00002830
AFRM       0.00002824
ET         0.00002435
NTR        0.00001923
CCJ        0.00001873
PBR        0.00001728
HSBC       0.00001615
XP         0.00001450
GTLB       0.00001194
DKS        0.00001182
LII        0.00001148
PINS       0.00001108
OKTA       0.00001058
JD         0.00001054
SE         0.00000991
LI         0.00000934
AZN        0.00000928
SQ         0.00000651
BUD        0.00000648
SHEL       0.00000624
SHOP       0.00000618
CELH       0.00000615
BURL       0.00000581
DASH       0.00000542
EDU        0.00000528
DELL       0.00000503
ROKU       0.00000483
RBLX       0.00000453
Z          0.00000451
DKNG       0.00000434
BP         0.00000417
BIDU       0.00000402
GDDY       0.00000323
KKR        0.00000312
COIN       0.00000299
BABA       0.00000291
TEAM       0.00000265
SONY       0.00000257
TOL        0.00000249
SPOT       0.00000248
APO        0.00000235
MRVL       0.00000219
NVO        0.00000213
TTD        0.00000204
TWLO       0.00000199
PDD        0.00000193
NET        0.00000183
DDOG       0.00000152
TSM        0.00000149
WSM        0.00000125
ZM         0.00000121
LNG        0.00000095
WDAY       0.00000075
MELI       0.00000067
MDB        0.00000055
RACE       0.00000052
ZS         0.00000042
ASML       0.00000038
SMCI       0.00000033
SNOW       0.00000031
CRWD       0.00000024
SPLK       0.00000000
FIVE       0.00000000
UBS        0.00000000
DT         0.00000000
HUBS       0.00000000
