Symbol     Value     
--------------------
PAA        0.00063952
DB         0.00013023
SNAP       0.00011413
AFRM       0.00010557
PLTR       0.00008753
RIVN       0.00008232
BEKE       0.00007815
COTY       0.00006824
TEVA       0.00006669
MT         0.00006519
PATH       0.00005545
U          0.00005400
GOLD       0.00005288
LI         0.00005258
CPNG       0.00004911
SE         0.00004835
XP         0.00004465
PBR        0.00004308
RBLX       0.00004281
WPM        0.00003959
GSK        0.00003751
JD         0.00003669
CELH       0.00003543
X          0.00003367
CCJ        0.00003310
GTLB       0.00003078
SRPT       0.00003076
PINS       0.00002860
VALE       0.00002812
ALLY       0.00002810
DKNG       0.00002739
EDU        0.00002432
ET         0.00002426
NET        0.00002405
DBX        0.00002352
SQ         0.00002099
COIN       0.00002053
SHOP       0.00002040
ROKU       0.00001955
BABA       0.00001927
TTD        0.00001881
EPD        0.00001755
TECK       0.00001740
SU         0.00001683
BUD        0.00001619
HSBC       0.00001619
NTR        0.00001432
DDOG       0.00001306
TEAM       0.00001254
BP         0.00001239
Z          0.00001212
OKTA       0.00001130
MRVL       0.00001101
DOCU       0.00001066
LII        0.00001050
DELL       0.00000999
BIDU       0.00000969
DASH       0.00000955
TWLO       0.00000948
SHEL       0.00000931
TOL        0.00000866
PDD        0.00000758
GDDY       0.00000753
TSM        0.00000672
SNOW       0.00000628
KKR        0.00000622
SMCI       0.00000560
ZM         0.00000543
NVO        0.00000481
BURL       0.00000448
MDB        0.00000429
SONY       0.00000386
CRWD       0.00000384
SPOT       0.00000375
WDAY       0.00000357
ZS         0.00000328
WSM        0.00000279
APO        0.00000235
AZN        0.00000231
DKS        0.00000205
LNG        0.00000143
MELI       0.00000108
ASML       0.00000102
RACE       0.00000052
SPLK       0.00000000
FIVE       0.00000000
UBS        0.00000000
DT         0.00000000
HUBS       0.00000000
