Symbol     Value     
--------------------
PAA        0.00032060
DB         0.00012967
PLTR       0.00009566
SNAP       0.00008656
AFRM       0.00007298
TEVA       0.00006680
BEKE       0.00006512
RIVN       0.00006128
XP         0.00005874
CPNG       0.00004907
MT         0.00004896
LI         0.00004633
DOCU       0.00004606
PATH       0.00004577
RBLX       0.00004543
GOLD       0.00004192
SQ         0.00003954
SE         0.00003941
GSK        0.00003751
ALLY       0.00003750
COTY       0.00003398
U          0.00003256
JD         0.00003149
SRPT       0.00003014
PINS       0.00002828
VALE       0.00002816
GTLB       0.00002599
PBR        0.00002575
ET         0.00002430
DBX        0.00002345
WPM        0.00002238
CCJ        0.00001758
CELH       0.00001738
DKNG       0.00001721
EDU        0.00001706
COIN       0.00001675
X          0.00001623
HSBC       0.00001616
SU         0.00001449
NTR        0.00001438
TECK       0.00001428
TEAM       0.00001375
ROKU       0.00001282
SHOP       0.00001206
BIDU       0.00001085
TTD        0.00001071
EPD        0.00001049
OKTA       0.00001048
BP         0.00001037
TWLO       0.00000999
DDOG       0.00000963
BABA       0.00000913
Z          0.00000903
MRVL       0.00000818
DASH       0.00000809
KKR        0.00000778
LII        0.00000704
BUD        0.00000645
SHEL       0.00000620
NVO        0.00000598
NET        0.00000581
TSM        0.00000578
ZM         0.00000544
MDB        0.00000510
DELL       0.00000500
TOL        0.00000496
BURL       0.00000416
ZS         0.00000406
PDD        0.00000402
SNOW       0.00000391
SPOT       0.00000328
GDDY       0.00000323
SMCI       0.00000311
WDAY       0.00000304
SONY       0.00000257
APO        0.00000234
AZN        0.00000231
CRWD       0.00000204
WSM        0.00000187
LNG        0.00000143
DKS        0.00000102
MELI       0.00000088
ASML       0.00000076
RACE       0.00000052
SPLK       0.00000000
FIVE       0.00000000
UBS        0.00000000
DT         0.00000000
HUBS       0.00000000
