Symbol     Value     
--------------------
PAA        0.00032102
DB         0.00013042
SNAP       0.00012189
BEKE       0.00007792
RIVN       0.00007200
AFRM       0.00007198
PLTR       0.00006949
TEVA       0.00006675
XP         0.00005136
CPNG       0.00004928
MT         0.00004901
CCJ        0.00004901
ALLY       0.00004698
PATH       0.00004589
SRPT       0.00004465
TTD        0.00004248
GOLD       0.00004203
GSK        0.00003754
LI         0.00003713
COTY       0.00003404
SE         0.00003364
RBLX       0.00003342
U          0.00003272
DOCU       0.00003132
SQ         0.00002933
VALE       0.00002824
COIN       0.00002599
PBR        0.00002585
OKTA       0.00002545
PINS       0.00002519
ET         0.00002437
DBX        0.00002355
NET        0.00002263
GTLB       0.00002127
JD         0.00002099
WPM        0.00001686
X          0.00001628
HSBC       0.00001616
EDU        0.00001514
NTR        0.00001438
TECK       0.00001430
DKNG       0.00001285
ROKU       0.00001249
SU         0.00001208
LII        0.00001152
SHOP       0.00001104
EPD        0.00001047
CELH       0.00001045
BP         0.00001038
TWLO       0.00000900
DDOG       0.00000826
TEAM       0.00000825
Z          0.00000825
KKR        0.00000778
MRVL       0.00000770
DASH       0.00000769
BABA       0.00000671
BUD        0.00000646
SHEL       0.00000622
DELL       0.00000501
BURL       0.00000483
ZM         0.00000482
PDD        0.00000467
TSM        0.00000447
MDB        0.00000431
ZS         0.00000428
SPOT       0.00000384
TOL        0.00000373
NVO        0.00000367
SNOW       0.00000324
GDDY       0.00000323
WDAY       0.00000294
SMCI       0.00000243
APO        0.00000234
AZN        0.00000231
BIDU       0.00000212
WSM        0.00000187
CRWD       0.00000166
LNG        0.00000144
DKS        0.00000102
MELI       0.00000074
ASML       0.00000069
RACE       0.00000052
SPLK       0.00000000
FIVE       0.00000000
UBS        0.00000000
SONY       0.00000000
DT         0.00000000
HUBS       0.00000000
