,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,AZN240126P00063000,63.0,0.05,0.0,0.5,1,0.003968253968253968
1,AZN240126P00064000,64.0,0.06,0.0,0.5,1,0.00390625
2,AZN240126P00065000,65.0,0.01,0.0,0.5,12,0.0038461538461538464
3,AZN240126P00066000,66.0,0.04,0.0,0.04,23,0.00030303030303030303
4,AZN240126P00067000,67.0,0.03,0.02,0.04,29,0.00044776119402985075
5,AZN240126P00068000,68.0,0.6,0.67,1.0,8,0.012279411764705882
6,AZN240126P00069000,69.0,0.7,1.61,1.85,10,0.025072463768115942
7,AZN240126P00070000,70.0,4.04,2.7,2.87,2,0.039785714285714285
8,AZN240126P00072000,72.0,3.05,4.7,4.8,4,0.06597222222222222
