Symbol     Value     
--------------------
PBR        0.00005985
SHOP       0.00004672
GSK        0.00004527
MRVL       0.00003065
VALE       0.00002820
AZN        0.00002371
BP         0.00002262
TEAM       0.00002116
DELL       0.00001666
PDD        0.00001661
SNOW       0.00001643
HSBC       0.00001628
BABA       0.00001611
TSM        0.00001580
EPD        0.00001401
SHEL       0.00001244
NVO        0.00001231
BUD        0.00000982
SONY       0.00000906
APO        0.00000820
CRWD       0.00000774
KKR        0.00000627
WDAY       0.00000517
ASML       0.00000213
MELI       0.00000142
RACE       0.00000018
UBS        0.00000000
